,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3
No.,A1B1C1,A1B1C2,A1B2C1,A1B2C2,A2B1C1,A2B1C2,A2B2C1,A2B2C2,A1B1C1,A1B1C2,A1B2C1,A1B2C2,A2B1C1,A2B1C2,A2B2C1,A2B2C2,A1B1C1,A1B1C2,A1B2C1,A1B2C2,A2B1C1,A2B1C2,A2B2C1,A2B2C2
1,70,70,30,30,10,10,40,40,10,30,50,20,10,50,30,30,0,80,10,40,20,20,0,40
2,10,60,40,40,0,10,50,40,10,10,90,60,40,80,30,10,10,70,40,40,0,10,10,40
3,10,60,40,0,20,30,50,30,40,30,90,20,50,30,40,20,10,60,40,0,20,30,10,40
4,0,10,0,40,0,0,20,20,50,20,40,0,0,0,30,30,0,20,10,30,0,10,20,30
5,70,0,20,30,30,40,10,20,30,30,80,10,10,60,0,40,50,0,10,20,50,60,40,20
6,5,40,0,30,40,10,10,45,30,10,90,10,50,70,0,40,5,50,30,40,10,10,30,55
7,50,0,40,40,0,0,30,50,0,10,30,20,0,30,10,20,60,10,40,40,0,0,40,10
8,10,10,10,40,80,40,20,10,40,40,10,0,60,30,30,0,10,10,10,20,80,40,10,10
9,50,30,10,20,70,30,20,10,20,20,10,50,50,40,10,40,20,40,10,20,60,30,10,30
10,60,20,40,40,30,10,30,40,30,30,60,60,30,60,20,30,60,20,40,40,30,0,30,0
11,30,50,0,10,30,30,20,10,0,0,20,10,30,40,10,0,30,50,0,10,30,30,30,30
12,30,30,0,20,40,20,30,0,0,20,20,40,0,0,10,10,40,10,20,10,30,10,10,30
13,80,70,50,40,0,10,50,0,50,40,70,70,0,10,40,40,80,30,50,40,0,10,60,20
14,60,60,20,10,20,70,40,20,10,30,30,10,10,30,30,30,20,70,30,30,10,50,10,40
15,30,10,10,0,20,30,30,20,10,40,90,60,70,30,0,10,10,60,20,10,50,40,0,40
16,30,40,0,0,40,20,10,0,30,20,50,10,20,70,10,0,20,50,20,0,40,20,40,10
17,30,50,30,10,5,10,20,20,50,40,70,40,75,60,30,10,30,70,30,10,5,30,10,30
18,40,50,10,0,0,50,30,45,0,0,80,40,10,30,0,40,20,60,10,10,0,50,0,55
